0.100303 0
0.200044 447600
0.300092 499200
0.40054 499200
0.500034 447200
0.600011 509600
0.700154 499200
0.800071 447200
0.900095 499200
1.000072 509600
1.100007 499200
1.200056 499200
1.300279 499200
1.400119 499200
1.500183 499200
1.600023 499200
1.700022 499200
1.800551 499200
1.900391 499200
2.000231 499200
2.100071 499200
2.200095 499200
2.300072 509600
2.400007 499200
2.500056 499200
2.600279 499200
2.700119 499200
2.800183 499200
2.900023 499200
3.000022 499200
3.100551 499200
3.200391 499200
3.300231 499200
3.400071 499200
3.500095 499200
3.600453 457600
3.700293 499200
3.800133 499200
3.900157 499200
4.000013 509600
4.100069 499200
4.200117 499200
4.30034 499200
4.40018 499200
4.50002 499200
4.600085 499200
4.700084 499200
4.800613 499200
4.900453 499200
5.000293 499200
5.100133 499200
5.200157 499200
5.300013 509600
5.400069 499200
5.500117 499200
5.60034 499200
5.70018 499200
5.80002 499200
5.900085 499200
6.000773 499200
6.100242 457600
6.200082 499200
6.300146 499200
6.400145 499200
6.500674 499200
6.600514 499200
6.700354 499200
6.800194 499200
6.900034 499200
7.000058 499200
7.100036 509600
7.200179 499200
7.300019 499200
7.400242 499200
7.500082 499200
7.600146 499200
7.700145 499200
7.800674 499200
7.900514 499200
8.000354 499200
8.100194 499200
8.200034 499200
8.300058 499200
8.400036 509600
8.500179 499200
8.600096 447200
8.70012 499200
8.800097 509600
8.900032 499200
9.00008 499200
9.100304 499200
9.200144 499200
9.300208 499200
9.400048 499200
9.500047 499200
9.600576 499200
9.700416 499200
9.800256 499200
9.900096 499200
9.98808 436800
